"BillableHoursAmount","StaffAbbreviation","BillableHoursDate","MatterName"
"0.1","AEZ","2022-09-23","Dulaney's, Inc. - Corporate 10204.001"
"1.3","TRB","2020-08-04","DeatschWerks LLC - Master Production and Supply Agreement 10324.002"
"0.4","ERH","2020-01-08","WDCO Midtown LLC - Cognizant Lease Amendment 10102.001"
"0.5","ERH","2021-02-26","Sunshine City LLC - General 10137.000"
"0.2","BPL","2021-10-06","Delaware County Rural Water District 12 - General 10164.000"
"0.2","AEZ","2022-02-17","Radio & TV Experts, LLC - General 10007.000"
"1.7","CAJ","2024-06-18","Liddell, Mike - General 10178.000"
"1.1","JRJ","2021-07-29","Wonderfully Made Foundation - Department of Education Litigation 10559.001"
"0.5","RAW","2024-07-23","J&J HUDSON LLC - General 10729.000"
"0.2","ERH","2021-06-30","Pinnacle Homeowners Association, Inc - General 10225.000"
"0.5","ERH","2023-12-05","Sunshine City LLC - General 10137.000"
"0.1","AEZ","2021-11-04","UHS of Delaware, Inc. - Jesica Sanders 10009.001"
"1.7","AEZ","2021-10-07","Mar-K Specialized Mfg., Inc. - Bed Wood and Parts, LLC 10005.002"
"0.2","AEZ","2023-04-28","Charles Harding - Harding v. Sport Pontoon LLC 10778.001"
"0.3","AEZ","2024-05-03","Santiago-Brennan McDonald's, Inc. - Latonya M. Christian EEOC Claim 10934.002"
"0.3","AEZ","2022-11-16","Last Brand, Inc. - Employee Handbook 10296.023"
"0.4","CAJ","2025-01-23","Derik Kinghorn - Claim Climbers 11204.001"
"1.5","JSM","2022-11-07","Foraker Company - Grove Civic Center 10330.005"
"0.3","RAW","2020-02-21","Bartlesville 501 LLC - General 10113.000"
"0.5","ERH","2020-01-07","Resistol Services, LLC - General 10053.000"
"0.5","JER","2019-11-25","M-D BUILDING PRODUCTS, INC. - Alcot MFG and Supply Agreement 10165.001"
"0.7","JRJ","2021-01-08","PROPTORO LLC - General 10416.000"
"1.2","ERH","2022-11-22","Skirvin Hotel Investment LLC - Acquisition 10811.001"
"0.3","BPL","2020-06-22","Crescent Consulting - RAM Energy Liens 10150.002"
"0.3","JRJ","2024-06-19","Ascend Hospitality Group - GC2 10109.010"
"2.5","JER","2023-03-31","EightTwenty Oklahoma LLC - General 10689.000"
"0.5","BPL","2022-12-14","Downtown Glass, Inc. - General 10029.000"
"0.6","JER","2021-07-13","EIGHTTWENTY LLC - General 10539.000"
"0.2","AEZ","2021-12-09","Compellier - GC2 General 10552.000"
"0.8","AEZ","2022-08-24","Den-Tex Central dba Denny's Restaurant - Discrimination Claim 10784.001"
"0.7","JER","2023-02-14","The Children's Center, Inc. - General 10397.000"
"4.3","JRJ","2020-12-23","PROPTORO LLC - General 10416.000"
"3.0","JER","2022-01-10","Triton Value Partners SW, LLC - GC2 10095.000"
"1.6","BPL","2020-05-04","Mar-K Specialized Mfg., Inc. - Bed Wood and Parts, LLC 10005.002"
"0.2","AEZ","2021-06-24","Community National Bank of Okarche - Consulting 10004.001"
"0.2","JRJ","2023-06-21","Allparts Music Corp. dba Walrus Audio - Badass OGT 10368.032"
"0.1","AEZ","2021-02-12","Courtney Maxwell v. Cheese, LLC, Skillet, LLC, FRA-19-08728 10358.001"
"2.1","JRJ","2021-04-20","Rapid Remedy Urgent Care Center PLLC - OHCA Audit Appeal 10384.001"
"0.4","ERH","2020-09-25","301 132nd Street LLC - Company Formation 10242.001"
"2.0","WMJ","2024-08-02","Amara Collaboration US Inc. - General 11137.000"
"1.3","JRJ","2022-06-27","GeoX Energy Inc - General 10191.000"
"0.5","JRJ","2024-02-21","WDCO VENTURES LLC - General 10648.000"
"2.0","AEZ","2024-04-01","HGC Holdings LLC - Formulated Materials, LLC v. HICO Concrete, Inc. 10730.001"
"0.1","AEZ","2020-03-24","Strongpoint Auto Group v. Barry Currin (Replevin) GC2 10043.009"
"0.2","AEZ","2020-09-07","Q.B. Johnson Manufacturing, Inc. re: Hector Romero 10138.001"
"0.3","TRB","2022-05-31","Pegasus EHS, LLC, vs. MHT Consulting, et.al. 10683.002"
"1.0","JRJ","2024-08-23","Utex Industries Inc. - Composite BX Ring Patent Application 10158.014"
"0.5","AEZ","2024-02-09","Bennett Construction, Inc. - General 10122.000"
"0.5","BPL","2020-07-23","Shellback General Contracting Co. - Allstate Electrical 10057.003"
"1.0","RAW","2025-02-07","VonAllmen Capital Partners - Little Egypt 10177.007"
"0.4","TRB","2022-08-16","ONEOK - General 10756.000"
"0.7","BPL","2022-02-16","Appraisal Shield - General 10100.000"
"1.8","AEZ","2022-02-17","Mar-K Specialized Mfg., Inc. - Bed Wood and Parts, LLC 10005.002"
"0.2","BPL","2020-06-09","Resistol Services, LLC - C & J Oilfield Services 10053.006"
"9.5","JER","2023-01-13","The Children's Center, Inc. - Bethany Children's Health Center - Litigation 10397.004"
"0.4","ERH","2020-01-10","Strongpoint Auto Group v. Dustin Curtis (Replevin) 10043.006"
"0.4","AEZ","2020-02-10","Landmark of Midwest City - Hightower 10174.002"
"3.3","JRJ","2023-12-12","Zebrick Roach - Nonprovisional Patent Application 10828.002"
"1.5","BPL","2021-08-05","RAD CITY LLC - Trademark Licensing 10528.001"
"0.1","AEZ","2023-03-24","Funky Chicken, LLC dba Chick-fil-A of Eastside Market - EEOC Charge of Discrimination 10871.001"
"0.3","BPL","2020-01-22","Jasco Products Company, LLC - Jasco - Powergear II 10038.009"
"0.1","AEZ","2021-04-07","TRIBUNE CAPITAL MANAGEMENT LLC - Franklin v. Tribune 10431.001"
"0.5","CNM","2022-03-06","Compellier - GC2 General 10552.000"
"0.4","WMJ","2023-12-04","FX Replay - General 10984.000"
"2.1","BPL","2023-10-19","Apex MWD LLC - General 10716.000"
"4.0","JER","2024-06-04","Ramjee, Emily - Comprehensive Estate Plan 11054.001"
"3.9","JRJ","2025-01-14","Darby, Gina - Dept of Education Action Corrected 10776.002"
"0.7","JER","2021-08-19","Comma Insurance - General 10203.000"
"0.2","AEZ","2019-12-11","UHS of Delaware, Inc. - Jesica Sanders 10009.001"
"1.5","JER","2021-07-26","Compellier - GC2 General 10552.000"
"0.2","JRJ","2020-01-27","Hurst v. Knauf 10028.001"
"1.2","CNM","2022-06-08","CHICAGO DT HOTEL INVESTMENT LLC - Westin Acquisition 10717.001"
"1.8","CNM","2022-12-08","13111 Highland Park Hotel LLC - General 10424.000"
"0.5","ERH","2021-03-16","Last Brand, Inc. - Dissolve Entity 10296.003"
"1.0","JER","2023-02-06","AVSAR DEVELOPMENTS LLC - General 10666.000"
"0.5","AEZ","2024-03-01","Durant Mobile  Park, LLC - Book and Mankin Fiduciary Claims 11028.001"
"0.5","TRB","2020-05-19","Jeremy Bryant - General 10299.000"
"5.3","JRJ","2025-01-07","Appraisal Shield - Utah Department of Commerce 10100.002"
"0.1","DAC","2022-02-18","Bricktown Development Co, LLC - General 10487.000"
