"TimeEntryID","TimeEntryDatasourceID","TimeEntrySourceID","TimeEntryMatterID","TimeEntryStaffID","TimeEntryName","TimeEntryDate","TimeEntryMonth","TimeEntryQuarter","TimeEntryYear","TimeEntryAmount","TimeEntryRate","TimeEntryGross","TimeEntryStatus","TimeEntryPayable","TimeEntryIsActive","TimeEntryUpdatedDatetime","TotalBilledToDate","TotalPaidToDate","TimeEntryBilledAmount","TimeEntryInvoiceID","Staff","MatterType","TransactionPaymentAmount","LastPaymentDate","CTimeEntryPayable","TotalPaymentPayable","TimeEntryBreakDown","TotalPayout"
"1~B00E0B2A62677765","1","B00E0B2A62677765","1~AC361AB169FF7591","1~YB387AAF35F66861","10132.000 - Amshot LLC - General - Researched and revised MTSA, riders, product listings, researched industry specific terms and incorporated information into revised documents, compared documents for agreement between terms, headings, and services.","2025-03-03","3","1","2025","4.3","420.0","1806.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","1054.91","H3ABFB3132719210","BPL","2","3500.0","2025-03-03","1054.91","1400.0","0.3014","421.96"
"1~B0111B22154E9125","1","B0111B22154E9125","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Review FD Utah email from LL's counsel.  Respond to same.","2024-10-03","10","4","2024","0.3","400.0","120.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","82.1","HEBACB2817B80480","JRJ","2","15000.0","2024-10-03","82.1","6000.0","0.0054","32.4"
"1~B01D8B21E2B09959","1","B01D8B21E2B09959","1~AB9DDB1298358443","1~Y977BAFE02C5D403","10109.010 - Ascend Hospitality Group - GC2 - Review emails regarding efforts to amend West Jordan Landing location's lease in preparation to transfer franchise to new buyer, update strategy memo regarding the same; Review emails and update strategy memo relating to Northgate Tax issue. ","2024-10-03","10","4","2024","0.5","350.0","175.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","119.73","HEBACB2817B80480","CAJ","2","15000.0","2024-10-03","119.73","6000.0","0.0079","47.4"
"1~B03D9B3078271115","1","B03D9B3078271115","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Review emails.  Review OFAC statement.","2025-05-19","5","2","2025","0.5","400.0","200.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","116.98","H591BB31D8C4D509","JRJ","2","15000.0","2025-05-19","116.98","6000.0","0.0039","23.4"
"1~B03E0B2EA7CFB404","1","B03E0B2EA7CFB404","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Research Washington law on lease rights.  review Northgate lease.  Draft email to R Perez.","2025-04-04","4","2","2025","6.4","400.0","2560.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","1235.12","H378AB31D3C56581","JRJ","2","15000.0","2025-04-04","1235.12","6000.0","0.0823","493.8"
"1~B0441B2723197249","1","B0441B2723197249","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Review and respond to daily emails.","2024-12-05","12","4","2024","1.1","400.0","440.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","368.3","H5836B281BA27898","JRJ","2","15000.0","2024-12-05","368.3","6000.0","0.0245","147.0"
"1~B04B9B2600D6D170","1","B04B9B2600D6D170","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Review emails regarding Ascend power loss.","2024-12-05","12","4","2024","2.8","400.0","1120.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","937.5","H5836B281BA27898","JRJ","2","15000.0","2024-12-05","937.5","6000.0","0.0625","375.0"
"1~B0515B2B16DD9379","1","B0515B2B16DD9379","1~AB9DDB1298358443","1~Y977BAFE02C5D403","10109.010 - Ascend Hospitality Group - GC2 - Prepare for meeting, review emails on various legal issues, update strategy memo. ","2025-03-04","3","1","2025","0.7","350.0","245.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","169.43","H151FB31DE0FD393","CAJ","2","15000.0","2025-03-04","169.43","6000.0","0.0107","64.2"
"1~B0526B232836C442","1","B0526B232836C442","1~AB9DDB1298358443","1~Y977BAFE02C5D403","10109.010 - Ascend Hospitality Group - GC2 - Review emails regarding roof/hvac repair at Stanfords, update strategy memo; Review emails regarding LOI for new concept; Review and revise LOI, draft email to clients regarding the same.","2024-10-03","10","4","2024","2.5","350.0","875.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","598.63","HEBACB2817B80480","CAJ","2","15000.0","2024-10-03","598.63","6000.0","0.0399","239.4"
"1~B0557B232B3F3102","1","B0557B232B3F3102","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Review emails.  Email to Northgate.  Review Clackamas emails regarding leak.","2024-10-03","10","4","2024","2.5","400.0","1000.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","684.15","HEBACB2817B80480","JRJ","2","15000.0","2024-10-03","684.15","6000.0","0.0456","273.6"
"1~B057EB22CF6E7145","1","B057EB22CF6E7145","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Prep for meeting on Tanasbourne lease.","2024-10-03","10","4","2024","2.2","400.0","880.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","602.05","HEBACB2817B80480","JRJ","2","15000.0","2024-10-03","602.05","6000.0","0.0401","240.6"
